case_id,local_gallery,local_camera_simulation,remote_gallery,remote_camera_simulation,live_camera,screenshot,notes
STR-CLN-NORMAL,safe (1),safe (1),safe (1),safe (1),pending,pending,
STR-CLN-ANGLE,safe (1),safe (1),safe (1),safe (1),pending,pending,
STR-CLN-DEFOCUS,safe (1),safe (1),safe (1),safe (1),pending,pending,
STR-CLN-FAR,safe (1),safe (1),safe (1),safe (1),pending,pending,
STR-CLN-GLARE,safe (1),safe (1),safe (1),safe (1),pending,pending,
STR-CLN-MOTION,safe (1),safe (1),safe (1),safe (1),pending,pending,
STR-CLN-OVEREXP,safe (1),safe (1),safe (1),safe (1),pending,pending,
STR-CLN-SCREEN,safe (1),safe (1),safe (1),safe (1),pending,pending,
STR-CLN-SHADOW,safe (1),safe (1),safe (1),safe (1),pending,pending,
STR-CLN-UNDEREXP,safe (1),safe (1),safe (1),safe (1),pending,pending,
STR-ADV-NORMAL,blocked (89),blocked (89),blocked (89),blocked (89),pending,pending,
STR-ADV-ANGLE,blocked (90),blocked (90),blocked (90),blocked (90),pending,pending,
STR-ADV-DEFOCUS,blocked (88),blocked (88),blocked (88),blocked (88),pending,pending,
STR-ADV-FAR,blocked (89),blocked (89),blocked (89),blocked (89),pending,pending,
STR-ADV-GLARE,blocked (90),blocked (90),blocked (90),blocked (90),pending,pending,
STR-ADV-MOTION,blocked (89),blocked (89),blocked (89),blocked (89),pending,pending,
STR-ADV-OVEREXP,blocked (83),blocked (83),blocked (83),blocked (83),pending,pending,
STR-ADV-SCREEN,blocked (87),blocked (87),blocked (87),blocked (87),pending,pending,
STR-ADV-SHADOW,blocked (88),blocked (88),blocked (88),blocked (88),pending,pending,
STR-ADV-UNDEREXP,blocked (90),blocked (90),blocked (90),blocked (90),pending,pending,
STR-TMP-NORMAL,blocked (90),blocked (90),blocked (90),blocked (90),pending,pending,
STR-TMP-ANGLE,blocked (93),blocked (93),blocked (93),blocked (93),pending,pending,
STR-TMP-DEFOCUS,blocked (90),blocked (90),blocked (90),blocked (90),pending,pending,
STR-TMP-FAR,blocked (92),blocked (92),blocked (92),blocked (92),pending,pending,
STR-TMP-GLARE,blocked (89),blocked (89),blocked (89),blocked (89),pending,pending,
STR-TMP-MOTION,blocked (87),blocked (87),blocked (87),blocked (87),pending,pending,
STR-TMP-OVEREXP,blocked (93),blocked (93),blocked (93),blocked (93),pending,pending,
STR-TMP-SCREEN,blocked (86),blocked (86),blocked (86),blocked (86),pending,pending,
STR-TMP-SHADOW,blocked (93),blocked (93),blocked (93),blocked (93),pending,pending,
STR-TMP-UNDEREXP,blocked (90),blocked (90),blocked (90),blocked (90),pending,pending,
SEM-01-SAFE-HTTPS,safe (1),safe (1),safe (1),safe (1),pending,pending,
SEM-02-BRAND-PHISH,blocked (78),blocked (78),blocked (78),blocked (78),pending,pending,
SEM-03-RAW-IP,blocked (95),blocked (95),blocked (95),blocked (95),pending,pending,
SEM-04-PUNYCODE,warning (30),warning (30),warning (30),warning (30),pending,pending,
SEM-05-USERINFO,blocked (80),blocked (80),blocked (80),blocked (80),pending,pending,
SEM-06-DEEP-SUBDOMAINS,blocked (89),blocked (89),blocked (89),blocked (89),pending,pending,
SEM-07-SHORTENER,blocked (100),blocked (100),blocked (100),blocked (100),pending,pending,
SEM-08-JAVASCRIPT,blocked (95),blocked (95),blocked (96),blocked (95),pending,pending,
SEM-09-WIFI-OPEN,warning (26),warning (26),warning (26),warning (26),pending,pending,
SEM-10-WIFI-SECURE,safe (1),safe (1),safe (1),safe (1),pending,pending,
SEM-11-PLAIN-TEXT,safe (7),safe (7),safe (7),safe (7),pending,pending,
SEM-12-DUITNOW-DUMMY,safe (1),safe (1),safe (1),safe (1),pending,pending,
