path,label,class_id,split,official_split,group_id,qr_identity,capture_index,extraction_method,source,capture_kind,is_exact_app_crop,licence,width,height,sha256
ml_training/datasets/structural/raw/qrdn/extracted One/train/0.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:00,0,0,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,a7dc945d043180f3a28514a448776634675e318c91e8b89850c0f9440c686948
ml_training/datasets/structural/raw/qrdn/extracted One/train/1.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:00,0,1,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,cc68405f2b272a9b7fa2485b3cf62fac6b8049aacc302e7390bcdebfcb6006b9
ml_training/datasets/structural/raw/qrdn/extracted One/train/2.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:00,0,2,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,cdb124039dc1e3c9f024273a6224216145a331de93cc21fea091aa0743635082
ml_training/datasets/structural/raw/qrdn/extracted One/train/3.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:00,0,3,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,b6175a4e2ab2442184279e97032f998b4bd0bc7af423096e065456e07300f8cf
ml_training/datasets/structural/raw/qrdn/extracted One/train/4.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:00,0,4,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,1b0be7505e9077a7ffda86449570abec6291decadbdc4a3057fbec92ee1d9a0c
ml_training/datasets/structural/raw/qrdn/extracted One/train/5.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:00,0,5,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,8e60392a72d96eedd3f460f99ba0ce7b4f4c98b2d13f0ece1f652416f93784a1
ml_training/datasets/structural/raw/qrdn/extracted One/train/6.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:00,0,6,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,358394460ea2360d3fcc010fbfaff001283e08fc8786058ee2810cc7edbd5522
ml_training/datasets/structural/raw/qrdn/extracted One/train/7.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:00,0,7,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,8107f92d3014f6aaa250a5567705d2c65b164e2a4f413193c48b54ec0367f917
ml_training/datasets/structural/raw/qrdn/extracted One/train/8.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:00,0,8,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,b80db351d22b2d9a88b379f29fec2fe822d73f9a83cff5ea28e690f626b26278
ml_training/datasets/structural/raw/qrdn/extracted One/train/9.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:00,0,9,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,b08aaf4427e554fead180e588241338317d5a6e06e18e7bd0b151fbd5e8c2857
ml_training/datasets/structural/raw/qrdn/extracted One/train/10.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:00,0,10,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,6f1462d57936ad1d711bbeb664ee22b75338f9277ee8f485b14cc42b80f237ce
ml_training/datasets/structural/raw/qrdn/extracted One/train/11.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:00,0,11,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,2ea62ed039d5b13c028c715188d037bb621db16001b097203751c72e4b6c0e58
ml_training/datasets/structural/raw/qrdn/extracted One/train/12.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:00,0,12,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,e1d00edb8755f7d9e2ccc9a1c01b37d43edf87db1d08f8005be6fc8d2c17e5b1
ml_training/datasets/structural/raw/qrdn/extracted One/train/13.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:00,0,13,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,58faa1ecdabe6de94607f362dfbd51c519224e7ef635a27bc09c75a3b3544e5b
ml_training/datasets/structural/raw/qrdn/extracted One/train/14.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:00,0,14,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,f20e62b89a1ae04461779576918d9e334fa29681720219655a2873808d592364
ml_training/datasets/structural/raw/qrdn/extracted One/train/15.jpg,clean,0,auxiliary_train,train,qrdn:qr_identity:00,0,15,one,QR-DN1.0,real_screen_camera_watermark_extraction,False,CC-BY-4.0,512,512,8c21b3a084f492d9a1b074828103a4373da3695c9c8bd6685cdea42aa03d59ed
