base_identity,qr_version,version_band,mask_pattern,attack_profile,clean_case_id,adversarial_case_id,views_per_class,physical_clean_baseline_label,physical_clean_baseline_consistency,physical_clean_self_flip_rate,paired_physical_attack_success_rate,paired_physical_attack_success_margin,digital_baseline_label,physical_clean_digital_baseline_consistency,physical_attack_digital_baseline_success_rate,physical_attack_survival_verified
ATK-CAL-BASE-01,1,low_v1_v3,0,screen_camera_robust_v2_function,ATK-CAL-CLN-01,ATK-CAL-F-01,30,918,0.6333333333333333,0.3666666666666667,1.0,0.6333333333333333,918,0.6333333333333333,1.0,True
ATK-CAL-BASE-01,1,low_v1_v3,0,screen_camera_robust_v2_alternate,ATK-CAL-CLN-01,ATK-CAL-X-01,30,918,0.6333333333333333,0.3666666666666667,0.7,0.33333333333333326,918,0.6333333333333333,0.7,True
ATK-CAL-BASE-02,2,low_v1_v3,1,screen_camera_robust_v2_function,ATK-CAL-CLN-02,ATK-CAL-F-02,30,530,0.5333333333333333,0.4666666666666667,0.13333333333333333,-0.33333333333333337,918,0.4666666666666667,0.8666666666666667,False
ATK-CAL-BASE-02,2,low_v1_v3,1,screen_camera_robust_v2_alternate,ATK-CAL-CLN-02,ATK-CAL-X-02,30,530,0.5333333333333333,0.4666666666666667,0.8666666666666667,0.4,918,0.4666666666666667,0.4666666666666667,True
ATK-CAL-BASE-03,2,low_v1_v3,2,screen_camera_robust_v2_function,ATK-CAL-CLN-03,ATK-CAL-F-03,30,530,0.4666666666666667,0.5333333333333333,0.0,-0.5333333333333333,918,0.3333333333333333,1.0,False
ATK-CAL-BASE-03,2,low_v1_v3,2,screen_camera_robust_v2_alternate,ATK-CAL-CLN-03,ATK-CAL-X-03,30,530,0.4666666666666667,0.5333333333333333,1.0,0.4666666666666667,918,0.3333333333333333,0.8333333333333334,False
ATK-CAL-BASE-04,3,low_v1_v3,3,screen_camera_robust_v2_function,ATK-CAL-CLN-04,ATK-CAL-F-04,30,530,0.6333333333333333,0.3666666666666667,0.0,-0.3666666666666667,918,0.36666666666666664,1.0,False
ATK-CAL-BASE-04,3,low_v1_v3,3,screen_camera_robust_v2_alternate,ATK-CAL-CLN-04,ATK-CAL-X-04,30,530,0.6333333333333333,0.3666666666666667,0.4,0.033333333333333326,918,0.36666666666666664,0.9333333333333333,False
ATK-CAL-BASE-05,3,low_v1_v3,4,screen_camera_robust_v2_function,ATK-CAL-CLN-05,ATK-CAL-F-05,30,918,0.6,0.4,0.9,0.5,918,0.6,0.9,True
ATK-CAL-BASE-05,3,low_v1_v3,4,screen_camera_robust_v2_alternate,ATK-CAL-CLN-05,ATK-CAL-X-05,30,918,0.6,0.4,0.8333333333333334,0.43333333333333335,918,0.6,0.8333333333333334,True
ATK-CAL-BASE-06,3,low_v1_v3,5,screen_camera_robust_v2_function,ATK-CAL-CLN-06,ATK-CAL-F-06,30,918,0.6333333333333333,0.3666666666666667,0.9666666666666667,0.6,918,0.6333333333333333,0.9666666666666667,True
ATK-CAL-BASE-06,3,low_v1_v3,5,screen_camera_robust_v2_alternate,ATK-CAL-CLN-06,ATK-CAL-X-06,30,918,0.6333333333333333,0.3666666666666667,0.36666666666666664,-5.551115123125783e-17,918,0.6333333333333333,0.36666666666666664,False
ATK-CAL-BASE-07,3,low_v1_v3,6,screen_camera_robust_v2_function,ATK-CAL-CLN-07,ATK-CAL-F-07,30,918,0.7,0.30000000000000004,1.0,0.7,918,0.7,1.0,True
ATK-CAL-BASE-07,3,low_v1_v3,6,screen_camera_robust_v2_alternate,ATK-CAL-CLN-07,ATK-CAL-X-07,30,918,0.7,0.30000000000000004,0.7666666666666667,0.4666666666666667,918,0.7,0.7666666666666667,True
ATK-CAL-BASE-08,3,low_v1_v3,7,screen_camera_robust_v2_function,ATK-CAL-CLN-08,ATK-CAL-F-08,30,530,0.7666666666666667,0.23333333333333328,0.1,-0.13333333333333328,918,0.23333333333333334,0.9,False
ATK-CAL-BASE-08,3,low_v1_v3,7,screen_camera_robust_v2_alternate,ATK-CAL-CLN-08,ATK-CAL-X-08,30,530,0.7666666666666667,0.23333333333333328,0.36666666666666664,0.13333333333333336,918,0.23333333333333334,0.9,False
ATK-CAL-BASE-09,4,medium_v4_v6,0,screen_camera_robust_v2_function,ATK-CAL-CLN-09,ATK-CAL-F-09,30,918,0.8,0.19999999999999996,0.9333333333333333,0.7333333333333334,918,0.8,0.9333333333333333,True
ATK-CAL-BASE-09,4,medium_v4_v6,0,screen_camera_robust_v2_alternate,ATK-CAL-CLN-09,ATK-CAL-X-09,30,918,0.8,0.19999999999999996,0.6333333333333333,0.43333333333333335,918,0.8,0.6333333333333333,True
ATK-CAL-BASE-10,4,medium_v4_v6,1,screen_camera_robust_v2_function,ATK-CAL-CLN-10,ATK-CAL-F-10,30,531,0.6,0.4,0.3333333333333333,-0.06666666666666671,918,0.16666666666666666,1.0,False
ATK-CAL-BASE-10,4,medium_v4_v6,1,screen_camera_robust_v2_alternate,ATK-CAL-CLN-10,ATK-CAL-X-10,30,531,0.6,0.4,1.0,0.6,918,0.16666666666666666,0.6,True
ATK-CAL-BASE-11,5,medium_v4_v6,2,screen_camera_robust_v2_function,ATK-CAL-CLN-11,ATK-CAL-F-11,30,531,0.3,0.7,0.9333333333333333,0.2333333333333334,918,0.16666666666666666,1.0,False
ATK-CAL-BASE-11,5,medium_v4_v6,2,screen_camera_robust_v2_alternate,ATK-CAL-CLN-11,ATK-CAL-X-11,30,531,0.3,0.7,0.9,0.20000000000000007,918,0.16666666666666666,0.9666666666666667,False
ATK-CAL-BASE-12,5,medium_v4_v6,3,screen_camera_robust_v2_function,ATK-CAL-CLN-12,ATK-CAL-F-12,30,826,0.4666666666666667,0.5333333333333333,0.7666666666666667,0.2333333333333334,918,0.3,1.0,False
