session_id,case_id,ground_truth,distance,repeat_index,frame_count,usable_frame_count,decoded_frame_count,safe_frames,warning_frames,blocked_frames,clean_type_frames,nonclean_type_frames,current_first_verdict,majority_verdict,median_risk_verdict,median_risk_score,median_p_structural,p_structural_range,majority_detects_ground_truth
0bef2182000bc7cd4d22ee24,RC-LAYOUT-4470,clean,screen-80,1,5,5,5,1,3,1,4,1,blocked,warning,safe,28.0,0.5487716794013977,0.1642465591430664,True
334069b0b7efc4b48b84a361,RC-LAYOUT-4470,clean,screen-80,2,5,5,5,4,1,0,5,0,safe,safe,safe,22.0,0.49989748001098633,0.14374440908432007,True
b8d836748498e45c1373947f,RC-LAYOUT-4470,clean,screen-80,3,5,5,5,3,1,1,4,1,blocked,safe,safe,21.0,0.49551641941070557,0.09687519073486328,True
c457f2455469d0160f1f6eec,RC-LAYOUT-4471,clean,screen-80,1,5,5,5,0,0,5,0,5,blocked,blocked,blocked,76.0,0.730048418045044,0.3397012948989868,False
a59fc186097e8c1d3d1060c5,RC-LAYOUT-4471,clean,screen-80,2,5,5,5,0,0,5,0,5,blocked,blocked,blocked,86.0,0.9477568864822388,0.03303825855255127,False
8071ce6cd291c490e08a1cf4,RC-LAYOUT-4471,clean,screen-80,3,5,5,5,0,0,5,0,5,blocked,blocked,blocked,85.0,0.9379336833953857,0.10373824834823608,False
2c29deffa7611999f49490ae,RC-LAYOUT-4472,clean,screen-80,1,5,5,5,1,0,4,1,4,safe,blocked,blocked,76.0,0.7571056485176086,0.6065871715545654,False
e20770fee1a97f273d5a39dc,RC-LAYOUT-4472,clean,screen-80,2,5,5,5,1,0,4,1,4,safe,blocked,blocked,76.0,0.7778854966163635,0.6699702739715576,False
fa9f08914522efa471d0424a,RC-LAYOUT-4472,clean,screen-80,3,5,5,5,0,0,5,0,5,blocked,blocked,blocked,76.0,0.744487464427948,0.2428988814353943,False
fb26c2b403046d2174ccd556,RC-MASK-0,clean,screen-80,1,5,5,4,4,0,1,4,1,safe,safe,safe,15.0,0.43235206604003906,0.4622040390968323,True
48eab89419d65567be4a50f4,RC-MASK-0,clean,screen-80,2,5,5,5,0,0,5,0,5,blocked,blocked,blocked,76.0,0.6906954646110535,0.18517827987670898,False
e8728162d3a0ceace6738fc4,RC-MASK-0,clean,screen-80,3,5,5,5,0,0,5,0,5,blocked,blocked,blocked,76.0,0.7343481779098511,0.15053141117095947,False
27b35383678a6583d284ed41,RC-MASK-1,clean,screen-80,1,5,5,5,2,0,3,2,3,safe,blocked,blocked,76.0,0.6593383550643921,0.7565428018569946,False
dcb7072355de04a44ea21c89,RC-MASK-1,clean,screen-80,2,5,5,5,0,0,5,0,5,blocked,blocked,blocked,76.0,0.7217551469802856,0.29673492908477783,False
2faa73ad0fdc83610ed158f1,RC-MASK-1,clean,screen-80,3,5,5,5,0,0,5,0,5,blocked,blocked,blocked,76.0,0.8288184404373169,0.18215972185134888,False
031bd42638c5577809c53f4a,RC-MASK-2,clean,screen-80,1,5,5,4,3,0,2,3,2,safe,safe,safe,12.0,0.40175193548202515,0.5637354850769043,True
a6c21ccc8d41514d5f1c0e9b,RC-MASK-2,clean,screen-80,2,5,5,5,0,0,5,0,5,blocked,blocked,blocked,76.0,0.6747667789459229,0.1780468225479126,False
3fa54c9a3f1cc514fe7b8c03,RC-MASK-2,clean,screen-80,3,5,5,5,0,0,5,0,5,blocked,blocked,blocked,76.0,0.6983814239501953,0.11410808563232422,False
7831c715d28e296bb2b9a640,RC-MASK-3,clean,screen-80,1,5,5,5,2,0,3,2,3,safe,blocked,blocked,76.0,0.5404356122016907,0.412942111492157,False
2535108f23bfe21964ec3dce,RC-MASK-3,clean,screen-80,2,5,5,5,2,0,3,2,3,blocked,blocked,blocked,76.0,0.5604468584060669,0.289689302444458,False
2572bbaafa272a76c3b2154d,RC-MASK-3,clean,screen-80,3,5,5,5,2,0,3,2,3,blocked,blocked,blocked,76.0,0.5708478689193726,0.22756046056747437,False
c6d387f15152c1126b80dbe5,RC-MASK-4,clean,screen-80,1,5,5,5,0,0,5,0,5,blocked,blocked,blocked,81.0,0.8923428058624268,0.2502838373184204,False
7901b0e290a630c0183b84f6,RC-MASK-4,clean,screen-80,2,5,5,5,0,0,5,0,5,blocked,blocked,blocked,76.0,0.8494826555252075,0.3872756361961365,False
5ded75dd78e9b93e660a8650,RC-MASK-4,clean,screen-80,3,5,5,5,0,0,5,0,5,blocked,blocked,blocked,76.0,0.8396376967430115,0.07508409023284912,False
59b5e019874fbda97bc734cc,RC-MASK-5,clean,screen-80,1,5,5,5,1,0,4,1,4,blocked,blocked,blocked,76.0,0.5924323797225952,0.6969116926193237,False
9198ddddba2c7c84ecac6014,RC-MASK-5,clean,screen-80,2,5,5,5,0,0,5,0,5,blocked,blocked,blocked,76.0,0.6738940477371216,0.19505584239959717,False
ab062fed6c1f4864bcd010c4,RC-MASK-5,clean,screen-80,3,5,5,5,0,0,5,0,5,blocked,blocked,blocked,76.0,0.7371339797973633,0.13085007667541504,False
25c38e74cf908958f9bc1b6c,RC-MASK-6,clean,screen-80,1,5,5,5,2,0,3,2,3,safe,blocked,blocked,76.0,0.7524049878120422,0.684701681137085,False
82add089a7b4f847bda4cbe8,RC-MASK-6,clean,screen-80,2,5,5,5,0,0,5,0,5,blocked,blocked,blocked,76.0,0.7987802028656006,0.14119821786880493,False
8c96471104ec3a0e127bbd36,RC-MASK-6,clean,screen-80,3,5,5,5,0,0,5,0,5,blocked,blocked,blocked,76.0,0.810929000377655,0.11478811502456665,False
5b0bc3ea48f3accd285d6efb,RC-MASK-7,clean,screen-80,1,5,5,5,3,0,2,3,2,safe,safe,safe,16.0,0.45067495107650757,0.5427659153938293,True
21dd603311b22f71fbe39c98,RC-MASK-7,clean,screen-80,2,5,5,5,3,0,2,3,2,blocked,safe,safe,15.0,0.4373641014099121,0.353344202041626,True
8fcac46686b30cacd7de01d1,RC-MASK-7,clean,screen-80,3,5,5,5,3,1,1,4,1,safe,safe,safe,23.0,0.5067046284675598,0.1506088376045227,True
a953908d2f18967525e9e1c5,RC-VERSION-4,clean,screen-80,1,5,5,5,1,0,4,1,4,safe,blocked,blocked,76.0,0.8486930131912231,0.4702339172363281,False
b57899cf857672e640a74105,RC-VERSION-4,clean,screen-80,2,5,5,5,0,0,5,0,5,blocked,blocked,blocked,76.0,0.8377231955528259,0.09627032279968262,False
96dd844b1f073354498a5300,RC-VERSION-4,clean,screen-80,3,5,5,5,0,0,5,0,5,blocked,blocked,blocked,80.0,0.8840797543525696,0.1577364206314087,False
