session_id,case_id,ground_truth,distance,repeat_index,frame_count,usable_frame_count,decoded_frame_count,safe_frames,warning_frames,blocked_frames,clean_type_frames,nonclean_type_frames,current_first_verdict,majority_verdict,median_risk_verdict,median_risk_score,median_p_structural,p_structural_range,majority_detects_ground_truth
0bef2182000bc7cd4d22ee24,RC-LAYOUT-4470,clean,screen-80,1,5,5,5,5,0,0,5,0,safe,safe,safe,2.0,0.08878320455551147,0.140730619430542,True
334069b0b7efc4b48b84a361,RC-LAYOUT-4470,clean,screen-80,2,5,5,5,5,0,0,5,0,safe,safe,safe,1.0,0.05494201183319092,0.4133402705192566,True
b8d836748498e45c1373947f,RC-LAYOUT-4470,clean,screen-80,3,5,5,5,5,0,0,5,0,safe,safe,safe,1.0,0.06513035297393799,0.369615375995636,True
c457f2455469d0160f1f6eec,RC-LAYOUT-4471,clean,screen-80,1,5,5,5,3,0,2,3,2,blocked,safe,safe,10.0,0.37150734663009644,0.5181879997253418,True
a59fc186097e8c1d3d1060c5,RC-LAYOUT-4471,clean,screen-80,2,5,5,5,2,0,3,2,3,blocked,blocked,blocked,76.0,0.563401997089386,0.4370485544204712,False
8071ce6cd291c490e08a1cf4,RC-LAYOUT-4471,clean,screen-80,3,5,5,5,2,0,3,2,3,safe,blocked,blocked,76.0,0.7876689434051514,0.6647781729698181,False
2c29deffa7611999f49490ae,RC-LAYOUT-4472,clean,screen-80,1,5,5,5,4,0,1,4,1,safe,safe,safe,2.0,0.08737766742706299,0.8613982796669006,True
e20770fee1a97f273d5a39dc,RC-LAYOUT-4472,clean,screen-80,2,5,5,5,5,0,0,5,0,safe,safe,safe,2.0,0.11936622858047485,0.27408367395401,True
fa9f08914522efa471d0424a,RC-LAYOUT-4472,clean,screen-80,3,5,5,5,5,0,0,5,0,safe,safe,safe,2.0,0.11167597770690918,0.14966607093811035,True
fb26c2b403046d2174ccd556,RC-MASK-0,clean,screen-80,1,5,5,4,5,0,0,5,0,safe,safe,safe,1.0,0.018058300018310547,0.0854799747467041,True
48eab89419d65567be4a50f4,RC-MASK-0,clean,screen-80,2,5,5,5,5,0,0,5,0,safe,safe,safe,2.0,0.14162158966064453,0.3051890730857849,True
e8728162d3a0ceace6738fc4,RC-MASK-0,clean,screen-80,3,5,5,5,4,0,1,4,1,safe,safe,safe,9.0,0.35289502143859863,0.38597261905670166,True
27b35383678a6583d284ed41,RC-MASK-1,clean,screen-80,1,5,5,5,5,0,0,5,0,safe,safe,safe,1.0,0.05715954303741455,0.48271501064300537,True
dcb7072355de04a44ea21c89,RC-MASK-1,clean,screen-80,2,5,5,5,3,0,2,3,2,safe,safe,safe,5.0,0.2489992380142212,0.5412326455116272,True
2faa73ad0fdc83610ed158f1,RC-MASK-1,clean,screen-80,3,5,5,5,5,0,0,5,0,safe,safe,safe,4.0,0.22828221321105957,0.21282625198364258,True
031bd42638c5577809c53f4a,RC-MASK-2,clean,screen-80,1,5,5,4,4,0,1,4,1,safe,safe,safe,1.0,0.05808079242706299,0.6549649834632874,True
a6c21ccc8d41514d5f1c0e9b,RC-MASK-2,clean,screen-80,2,5,5,5,5,0,0,5,0,safe,safe,safe,3.0,0.1712261438369751,0.24504834413528442,True
3fa54c9a3f1cc514fe7b8c03,RC-MASK-2,clean,screen-80,3,5,5,5,5,0,0,5,0,safe,safe,safe,12.0,0.39880484342575073,0.20660990476608276,True
7831c715d28e296bb2b9a640,RC-MASK-3,clean,screen-80,1,5,5,5,5,0,0,5,0,safe,safe,safe,1.0,0.044957637786865234,0.020296037197113037,True
2535108f23bfe21964ec3dce,RC-MASK-3,clean,screen-80,2,5,5,5,5,0,0,5,0,safe,safe,safe,2.0,0.08158940076828003,0.11189663410186768,True
2572bbaafa272a76c3b2154d,RC-MASK-3,clean,screen-80,3,5,5,5,5,0,0,5,0,safe,safe,safe,1.0,0.04191404581069946,0.08287656307220459,True
c6d387f15152c1126b80dbe5,RC-MASK-4,clean,screen-80,1,5,5,5,2,0,3,2,3,blocked,blocked,blocked,76.0,0.5122801661491394,0.8933759331703186,False
7901b0e290a630c0183b84f6,RC-MASK-4,clean,screen-80,2,5,5,5,5,0,0,5,0,safe,safe,safe,13.0,0.4128759503364563,0.3726257085800171,True
5ded75dd78e9b93e660a8650,RC-MASK-4,clean,screen-80,3,5,5,5,4,0,1,4,1,safe,safe,safe,6.0,0.29813873767852783,0.6475586295127869,True
59b5e019874fbda97bc734cc,RC-MASK-5,clean,screen-80,1,5,5,5,5,0,0,5,0,safe,safe,safe,2.0,0.11975604295730591,0.3949996829032898,True
9198ddddba2c7c84ecac6014,RC-MASK-5,clean,screen-80,2,5,5,5,5,0,0,5,0,safe,safe,safe,13.0,0.41240382194519043,0.28457051515579224,True
ab062fed6c1f4864bcd010c4,RC-MASK-5,clean,screen-80,3,5,5,5,4,0,1,4,1,safe,safe,safe,9.0,0.34354978799819946,0.3620874881744385,True
25c38e74cf908958f9bc1b6c,RC-MASK-6,clean,screen-80,1,5,5,5,3,0,2,3,2,safe,safe,safe,2.0,0.11489421129226685,0.7944265604019165,True
82add089a7b4f847bda4cbe8,RC-MASK-6,clean,screen-80,2,5,5,5,4,0,1,4,1,safe,safe,safe,9.0,0.35156768560409546,0.3081783056259155,True
8c96471104ec3a0e127bbd36,RC-MASK-6,clean,screen-80,3,5,5,5,4,0,1,4,1,safe,safe,safe,12.0,0.39855438470840454,0.2914985418319702,True
5b0bc3ea48f3accd285d6efb,RC-MASK-7,clean,screen-80,1,5,5,5,3,0,2,3,2,safe,safe,safe,3.0,0.16000843048095703,0.8773361444473267,True
21dd603311b22f71fbe39c98,RC-MASK-7,clean,screen-80,2,5,5,5,3,0,2,3,2,blocked,safe,safe,6.0,0.2863413095474243,0.750359058380127,True
8fcac46686b30cacd7de01d1,RC-MASK-7,clean,screen-80,3,5,5,5,2,0,3,2,3,safe,blocked,blocked,76.0,0.583125650882721,0.5454372763633728,False
a953908d2f18967525e9e1c5,RC-VERSION-4,clean,screen-80,1,5,5,5,5,0,0,5,0,safe,safe,safe,1.0,0.04099011421203613,0.14061212539672852,True
b57899cf857672e640a74105,RC-VERSION-4,clean,screen-80,2,5,5,5,5,0,0,5,0,safe,safe,safe,1.0,0.07005643844604492,0.06646203994750977,True
96dd844b1f073354498a5300,RC-VERSION-4,clean,screen-80,3,5,5,5,5,0,0,5,0,safe,safe,safe,1.0,0.046527087688446045,0.09889364242553711,True
