session_id,case_id,ground_truth,distance,repeat_index,frame_count,usable_frame_count,decoded_frame_count,safe_frames,warning_frames,blocked_frames,clean_type_frames,nonclean_type_frames,current_first_verdict,majority_verdict,median_risk_verdict,median_risk_score,median_p_structural,p_structural_range,majority_detects_ground_truth
83420067ff628112b542658a,CVG-ADV-V03-M0-01,adversarial,screen-80,1,5,5,4,0,0,5,0,5,blocked,blocked,blocked,77.0,0.8617572784423828,0.2588554620742798,True
ccd66962974e84eca36b3e43,CVG-ADV-V03-M1-02,adversarial,screen-80,1,5,5,4,0,0,5,0,5,blocked,blocked,blocked,84.0,0.9219256639480591,0.1586971879005432,True
9d44774de03bdde7a8959204,CVG-ADV-V03-M2-03,adversarial,screen-80,1,5,5,5,0,1,4,1,4,blocked,blocked,blocked,88.0,0.9714385271072388,0.4087783098220825,True
744d8ae298bd0454fe70b7d6,CVG-ADV-V03-M3-04,adversarial,screen-80,1,5,5,5,1,0,4,1,4,safe,blocked,blocked,76.0,0.7247596979141235,0.618643581867218,True
f948486bb6f241c3db87dcc6,CVG-ADV-V03-M4-05,adversarial,screen-80,1,5,5,3,2,1,2,3,2,safe,blocked,safe,27.0,0.5402274131774902,0.38438963890075684,False
09e1cf3d3ebcd81676b1ed6c,CVG-ADV-V05-M0-09,adversarial,screen-80,1,5,5,0,4,0,1,4,1,blocked,safe,safe,6.0,0.286823570728302,0.6766176819801331,False
ddf612065fb6c6d4d6a82bda,CVG-ADV-V05-M1-10,adversarial,screen-80,1,5,5,0,3,0,2,3,2,safe,safe,safe,16.0,0.4456937909126282,0.2614453434944153,False
67a296996e1d1741e561b332,CVG-ADV-V05-M5-06,adversarial,screen-80,1,5,5,5,1,0,4,1,4,blocked,blocked,blocked,76.0,0.7158617973327637,0.6918042898178101,True
c17e8bcefc61069889877e36,CVG-ADV-V05-M6-07,adversarial,screen-80,1,5,5,1,0,0,5,0,5,blocked,blocked,blocked,79.0,0.8760920763015747,0.1345176100730896,True
c8f141dddaab3640eb393358,CVG-ADV-V05-M7-08,adversarial,screen-80,1,5,5,0,1,0,4,1,4,safe,blocked,blocked,76.0,0.7320970296859741,0.6372900605201721,True
69f06351123669461a687da7,CVG-ADV-V10-M2-11,adversarial,screen-80,1,5,5,3,1,0,4,1,4,safe,blocked,blocked,87.0,0.9612471461296082,0.9696919322013855,True
956f1b2dc6445f57f4ad8a83,CVG-ADV-V10-M3-12,adversarial,screen-80,1,5,5,5,1,0,4,1,4,blocked,blocked,blocked,76.0,0.846184492111206,0.6087300777435303,True
0fe5d03dd1e336986442d751,CVG-ADV-V10-M4-13,adversarial,screen-80,1,5,5,5,1,0,4,1,4,safe,blocked,blocked,76.0,0.6897921562194824,0.6261656284332275,True
8e4b3e433a4d7dd3ad22c3d1,CVG-ADV-V10-M5-14,adversarial,screen-80,1,5,5,5,0,0,5,0,5,blocked,blocked,blocked,85.0,0.9332681894302368,0.21829205751419067,True
0625b7ee249299f3fd781526,CVG-ADV-V10-M6-15,adversarial,screen-80,1,5,5,4,1,0,4,1,4,blocked,blocked,blocked,76.0,0.702709436416626,0.6300290822982788,True
694196f08794b8271fb1690e,CVG-ADV-V10-M7-16,adversarial,screen-80,1,5,5,5,1,0,4,1,4,safe,blocked,blocked,76.0,0.7017881870269775,0.5155498385429382,True
8b9a613ca6b3e3924885e45f,CVG-CLN-V03-M0-01,clean,screen-80,1,5,5,5,4,0,1,4,1,safe,safe,safe,11.0,0.3765065670013428,0.8425350189208984,True
259bced72dbd204123ec0340,CVG-CLN-V03-M1-02,clean,screen-80,1,5,5,5,4,0,1,4,1,safe,safe,safe,13.0,0.4080336093902588,0.4136010408401489,True
c63c14280c5707e2c9121ded,CVG-CLN-V03-M2-03,clean,screen-80,1,5,5,4,0,0,5,0,5,blocked,blocked,blocked,86.0,0.9437748193740845,0.3667771816253662,False
7314138ce40ce25725f9d614,CVG-CLN-V03-M3-04,clean,screen-80,1,5,5,4,1,0,4,1,4,safe,blocked,blocked,76.0,0.7538836002349854,0.8489860892295837,False
e5883412d00b01ccee12a2bd,CVG-CLN-V03-M4-05,clean,screen-80,1,5,5,4,5,0,0,5,0,safe,safe,safe,9.0,0.34755420684814453,0.19858700037002563,True
2f06e26ea3c86f03c9e7aaa9,CVG-CLN-V05-M0-09,clean,screen-80,1,5,5,5,5,0,0,5,0,safe,safe,safe,1.0,0.0072026848793029785,0.010634124279022217,True
98734168ff366e2a42525a29,CVG-CLN-V05-M1-10,clean,screen-80,1,5,5,5,5,0,0,5,0,safe,safe,safe,1.0,0.03779709339141846,0.08489251136779785,True
205ddc290dd00bbe4288c76d,CVG-CLN-V05-M5-06,clean,screen-80,1,5,5,5,5,0,0,5,0,safe,safe,safe,2.0,0.10161107778549194,0.11798661947250366,True
fb71e166eb19922faa349879,CVG-CLN-V05-M6-07,clean,screen-80,1,5,5,4,4,0,1,4,1,blocked,safe,safe,1.0,0.039932310581207275,0.7864779829978943,True
858b6bd8a20e0c17c70ead9b,CVG-CLN-V05-M7-08,clean,screen-80,1,5,5,5,5,0,0,5,0,safe,safe,safe,3.0,0.18854451179504395,0.36605268716812134,True
94b527566fb3811f88fde695,CVG-CLN-V10-M2-11,clean,screen-80,1,5,5,4,5,0,0,5,0,safe,safe,safe,1.0,0.0010772347450256348,0.006046652793884277,True
58bf303f699607e35b47b6c5,CVG-CLN-V10-M3-12,clean,screen-80,1,5,5,5,5,0,0,5,0,safe,safe,safe,1.0,0.0007242560386657715,0.0009053349494934082,True
edb4dc95d0d1b254d0a30fc8,CVG-CLN-V10-M4-13,clean,screen-80,1,5,5,4,5,0,0,5,0,safe,safe,safe,1.0,0.021958887577056885,0.11439186334609985,True
143423ba91e3914d680cd1d8,CVG-CLN-V10-M5-14,clean,screen-80,1,5,5,5,5,0,0,5,0,safe,safe,safe,1.0,0.010556936264038086,0.05724567174911499,True
b6c9a1f6c5bfb359ad4b8e16,CVG-CLN-V10-M6-15,clean,screen-80,1,5,5,4,5,0,0,5,0,safe,safe,safe,1.0,0.00364530086517334,0.017066538333892822,True
1f1767b1d86490d8bdc37466,CVG-CLN-V10-M7-16,clean,screen-80,1,5,5,5,5,0,0,5,0,safe,safe,safe,1.0,0.0007322430610656738,0.005251944065093994,True
a7ee6d0172bb2395d9fea3f1,CVG-TMP-V03-M0-01,tampered,screen-80,1,5,5,5,0,0,5,0,5,blocked,blocked,blocked,84.0,0.9215425252914429,0.08256775140762329,True
80abb5f9651461eb316b11ac,CVG-TMP-V03-M1-02,tampered,screen-80,1,5,5,4,1,1,3,2,3,blocked,blocked,blocked,76.0,0.6845352649688721,0.26306724548339844,True
2013e7cc2ff520cd57894847,CVG-TMP-V03-M2-03,tampered,screen-80,1,5,5,5,0,0,5,0,5,blocked,blocked,blocked,84.0,0.9225496649742126,0.10572195053100586,True
dd607cc49a796fc761a22ebe,CVG-TMP-V03-M3-04,tampered,screen-80,1,5,5,4,0,0,5,0,5,blocked,blocked,blocked,89.0,0.9818111658096313,0.27422744035720825,True
e9aa390014333111f7a85482,CVG-TMP-V03-M4-05,tampered,screen-80,1,5,5,0,0,0,5,0,5,blocked,blocked,blocked,89.0,0.9844825267791748,0.03433710336685181,True
066cdbf1ba952a19a81c7048,CVG-TMP-V05-M0-09,tampered,screen-80,1,5,5,0,0,0,5,0,5,blocked,blocked,blocked,78.0,0.8705747127532959,0.1499577760696411,True
99b7df19c75736a1da17c708,CVG-TMP-V05-M1-10,tampered,screen-80,1,5,5,2,0,0,5,0,5,blocked,blocked,blocked,89.0,0.985893189907074,0.018613815307617188,True
ba91ea5c9a5a39cd470d66ef,CVG-TMP-V05-M5-06,tampered,screen-80,1,5,5,5,0,0,5,0,5,blocked,blocked,blocked,89.0,0.9893614053726196,0.007775783538818359,True
3526b15a96383ceb02a5eeda,CVG-TMP-V05-M6-07,tampered,screen-80,1,5,5,5,0,0,5,0,5,blocked,blocked,blocked,89.0,0.9903319478034973,0.021740496158599854,True
0c2ff27a6e2664274efbf908,CVG-TMP-V05-M7-08,tampered,screen-80,1,5,5,0,0,0,5,0,5,blocked,blocked,blocked,89.0,0.9886629581451416,0.02203679084777832,True
97bf47ef872bdc1a8b00678d,CVG-TMP-V10-M2-11,tampered,screen-80,1,5,5,5,0,0,5,0,5,blocked,blocked,blocked,90.0,0.9980847835540771,0.03175598382949829,True
d61a161b1da26ccc7ce1eb68,CVG-TMP-V10-M3-12,tampered,screen-80,1,5,5,5,0,0,5,0,5,blocked,blocked,blocked,89.0,0.9915515780448914,0.01668626070022583,True
9667bdd937c14e7736227104,CVG-TMP-V10-M4-13,tampered,screen-80,1,5,5,5,0,0,5,0,5,blocked,blocked,blocked,90.0,0.9988142848014832,0.004746675491333008,True
91f097c43a1653879256ce39,CVG-TMP-V10-M5-14,tampered,screen-80,1,5,5,3,0,0,5,0,5,blocked,blocked,blocked,90.0,0.9997642040252686,0.0005148053169250488,True
e29b8d8007e5c7b4a4c51e57,CVG-TMP-V10-M6-15,tampered,screen-80,1,5,5,3,0,0,5,0,5,blocked,blocked,blocked,90.0,0.9997963905334473,0.0008002519607543945,True
13b56edc85b9cfc049ca0894,CVG-TMP-V10-M7-16,tampered,screen-80,1,5,5,1,0,0,5,0,5,blocked,blocked,blocked,90.0,0.9979801774024963,0.0019870996475219727,True
