base_identity,qr_version,mask_pattern,clean_case_id,adversarial_case_id,views_per_class,physical_clean_baseline_label,physical_clean_baseline_consistency,physical_clean_self_flip_rate,paired_physical_attack_success_rate,paired_physical_attack_success_margin,digital_baseline_label,physical_clean_digital_baseline_consistency,physical_attack_digital_baseline_success_rate,physical_attack_survival_verified
BLIND-BASE-01,3,7,BLD-01-634AD9,BLD-39-5285E9,30,918,0.6666666666666666,0.33333333333333337,0.8333333333333334,0.5,918,0.6666666666666666,0.8333333333333334,True
BLIND-BASE-02,3,6,BLD-14-C0B3B8,BLD-26-E211CD,30,918,0.4666666666666667,0.5333333333333333,0.9666666666666667,0.43333333333333335,918,0.4666666666666667,0.9666666666666667,False
BLIND-BASE-03,3,5,BLD-25-BCBF4C,BLD-10-F817CE,30,530,0.6666666666666666,0.33333333333333337,0.03333333333333333,-0.30000000000000004,918,0.13333333333333333,0.9666666666666667,False
BLIND-BASE-04,3,4,BLD-37-419935,BLD-23-2F9C34,30,530,0.8333333333333334,0.16666666666666663,0.3,0.13333333333333336,918,0.16666666666666666,0.8666666666666667,False
BLIND-BASE-05,3,3,BLD-43-A7B6A5,BLD-03-940C9F,30,530,0.8333333333333334,0.16666666666666663,0.16666666666666666,2.7755575615628914e-17,918,0.16666666666666666,0.8333333333333334,False
BLIND-BASE-06,6,2,BLD-36-88BCFE,BLD-22-0E5D74,30,590,0.3,0.7,0.26666666666666666,-0.4333333333333333,918,0.13333333333333333,1.0,False
BLIND-BASE-07,6,1,BLD-30-754AFE,BLD-35-B2865A,30,590,0.5,0.5,0.6,0.09999999999999998,918,0.16666666666666666,1.0,False
BLIND-BASE-08,6,0,BLD-29-466F54,BLD-09-EB4682,30,590,0.6666666666666666,0.33333333333333337,0.4666666666666667,0.1333333333333333,918,0.03333333333333333,1.0,False
BLIND-BASE-09,6,7,BLD-18-5CD4F5,BLD-42-819C84,30,590,0.7666666666666667,0.23333333333333328,0.2,-0.03333333333333327,918,0.16666666666666666,1.0,False
BLIND-BASE-10,6,6,BLD-21-EBECE2,BLD-05-B2EB90,30,590,1.0,0.0,0.0,0.0,918,0.0,1.0,False
BLIND-BASE-11,12,5,BLD-44-D2E154,BLD-02-2660E2,30,590,0.7,0.30000000000000004,0.5,0.19999999999999996,111,0.0,1.0,False
BLIND-BASE-12,12,4,BLD-12-16F4F3,BLD-27-90C833,30,590,0.9666666666666667,0.033333333333333326,0.5,0.4666666666666667,111,0.0,1.0,True
BLIND-BASE-13,12,3,BLD-28-F08776,BLD-48-F47E77,30,921,0.7,0.30000000000000004,0.03333333333333333,-0.2666666666666667,111,0.0,1.0,False
BLIND-BASE-14,12,2,BLD-45-D9AEC1,BLD-46-FF9451,30,590,0.6333333333333333,0.3666666666666667,0.6,0.23333333333333328,111,0.0,1.0,False
BLIND-BASE-15,12,1,BLD-15-1FFEB7,BLD-20-16DE27,30,590,1.0,0.0,0.0,0.0,918,0.0,1.0,False
BLIND-BASE-16,12,0,BLD-32-62CEDC,BLD-19-100593,30,921,0.4666666666666667,0.5333333333333333,1.0,0.4666666666666667,111,0.0,1.0,False
