base_identity,qr_version,mask_pattern,clean_case_id,adversarial_case_id,views_per_class,physical_clean_baseline_label,physical_clean_baseline_consistency,physical_clean_self_flip_rate,paired_physical_attack_success_rate,paired_physical_attack_success_margin,digital_baseline_label,physical_clean_digital_baseline_consistency,physical_attack_digital_baseline_success_rate,physical_attack_survival_verified
PHY-R02-BASE-01,1,0,PHY-CLN-01,PHY-ADV-F-01,30,530,0.7666666666666667,0.23333333333333328,0.0,-0.23333333333333328,918,0.03333333333333333,1.0,False
PHY-R02-BASE-01,1,0,PHY-CLN-01,PHY-ADV-X-01,30,530,0.7666666666666667,0.23333333333333328,1.0,0.7666666666666667,918,0.03333333333333333,0.3,True
PHY-R02-BASE-02,2,3,PHY-CLN-02,PHY-ADV-F-02,30,530,0.6,0.4,0.0,-0.4,918,0.2,1.0,False
PHY-R02-BASE-02,2,3,PHY-CLN-02,PHY-ADV-X-02,30,530,0.6,0.4,0.8666666666666667,0.4666666666666667,918,0.2,0.4666666666666667,True
PHY-R02-BASE-03,2,6,PHY-CLN-03,PHY-ADV-F-03,30,530,0.6,0.4,0.2,-0.2,918,0.2,1.0,False
PHY-R02-BASE-03,2,6,PHY-CLN-03,PHY-ADV-X-03,30,530,0.6,0.4,0.7333333333333333,0.33333333333333326,918,0.2,0.7666666666666667,True
PHY-R02-BASE-04,3,1,PHY-CLN-04,PHY-ADV-F-04,30,530,0.6666666666666666,0.33333333333333337,0.2,-0.13333333333333336,918,0.13333333333333333,1.0,False
PHY-R02-BASE-04,3,1,PHY-CLN-04,PHY-ADV-X-04,30,530,0.6666666666666666,0.33333333333333337,0.6333333333333333,0.29999999999999993,918,0.13333333333333333,1.0,True
PHY-R02-BASE-05,3,4,PHY-CLN-05,PHY-ADV-F-05,30,530,0.6666666666666666,0.33333333333333337,0.4666666666666667,0.1333333333333333,918,0.13333333333333333,1.0,False
PHY-R02-BASE-05,3,4,PHY-CLN-05,PHY-ADV-X-05,30,530,0.6666666666666666,0.33333333333333337,0.8,0.4666666666666667,918,0.13333333333333333,0.8333333333333334,True
PHY-R02-BASE-06,4,7,PHY-CLN-06,PHY-ADV-F-06,30,918,0.5666666666666667,0.43333333333333335,0.8666666666666667,0.43333333333333335,918,0.5666666666666667,0.8666666666666667,True
PHY-R02-BASE-06,4,7,PHY-CLN-06,PHY-ADV-X-06,30,918,0.5666666666666667,0.43333333333333335,0.8333333333333334,0.4,918,0.5666666666666667,0.8333333333333334,True
PHY-R02-BASE-07,4,2,PHY-CLN-07,PHY-ADV-F-07,30,918,0.7666666666666667,0.23333333333333328,1.0,0.7666666666666667,918,0.7666666666666667,1.0,True
PHY-R02-BASE-07,4,2,PHY-CLN-07,PHY-ADV-X-07,30,918,0.7666666666666667,0.23333333333333328,0.4666666666666667,0.2333333333333334,918,0.7666666666666667,0.4666666666666667,False
PHY-R02-BASE-08,5,5,PHY-CLN-08,PHY-ADV-F-08,30,782,0.43333333333333335,0.5666666666666667,0.6,0.033333333333333326,918,0.16666666666666666,1.0,False
PHY-R02-BASE-08,5,5,PHY-CLN-08,PHY-ADV-X-08,30,782,0.43333333333333335,0.5666666666666667,0.7666666666666667,0.20000000000000007,918,0.16666666666666666,1.0,False
PHY-R02-BASE-09,6,0,PHY-CLN-09,PHY-ADV-F-09,30,590,0.5666666666666667,0.43333333333333335,0.3,-0.13333333333333336,918,0.13333333333333333,1.0,False
PHY-R02-BASE-09,6,0,PHY-CLN-09,PHY-ADV-X-09,30,590,0.5666666666666667,0.43333333333333335,0.5333333333333333,0.09999999999999998,918,0.13333333333333333,1.0,False
PHY-R02-BASE-10,6,3,PHY-CLN-10,PHY-ADV-F-10,30,590,0.8333333333333334,0.16666666666666663,0.2,0.03333333333333338,918,0.16666666666666666,1.0,False
PHY-R02-BASE-10,6,3,PHY-CLN-10,PHY-ADV-X-10,30,590,0.8333333333333334,0.16666666666666663,0.0,-0.16666666666666663,918,0.16666666666666666,1.0,False
PHY-R02-BASE-11,7,6,PHY-CLN-11,PHY-ADV-F-11,30,590,0.8666666666666667,0.1333333333333333,0.0,-0.1333333333333333,918,0.13333333333333333,1.0,False
PHY-R02-BASE-11,7,6,PHY-CLN-11,PHY-ADV-X-11,30,590,0.8666666666666667,0.1333333333333333,0.5,0.3666666666666667,918,0.13333333333333333,1.0,True
PHY-R02-BASE-12,8,1,PHY-CLN-12,PHY-ADV-F-12,30,590,0.9,0.09999999999999998,0.03333333333333333,-0.06666666666666665,918,0.1,1.0,False
PHY-R02-BASE-12,8,1,PHY-CLN-12,PHY-ADV-X-12,30,590,0.9,0.09999999999999998,0.0,-0.09999999999999998,918,0.1,1.0,False
PHY-R02-BASE-13,9,4,PHY-CLN-13,PHY-ADV-F-13,30,590,1.0,0.0,0.23333333333333334,0.23333333333333334,111,0.0,1.0,False
PHY-R02-BASE-13,9,4,PHY-CLN-13,PHY-ADV-X-13,30,590,1.0,0.0,0.0,0.0,111,0.0,1.0,False
PHY-R02-BASE-14,10,7,PHY-CLN-14,PHY-ADV-F-14,30,590,1.0,0.0,0.13333333333333333,0.13333333333333333,111,0.0,1.0,False
PHY-R02-BASE-14,10,7,PHY-CLN-14,PHY-ADV-X-14,30,590,1.0,0.0,0.16666666666666666,0.16666666666666666,111,0.0,1.0,False
PHY-R02-BASE-15,12,2,PHY-CLN-15,PHY-ADV-F-15,30,590,0.6333333333333333,0.3666666666666667,0.36666666666666664,-5.551115123125783e-17,111,0.0,1.0,False
PHY-R02-BASE-15,12,2,PHY-CLN-15,PHY-ADV-X-15,30,590,0.6333333333333333,0.3666666666666667,0.0,-0.3666666666666667,111,0.0,1.0,False
PHY-R02-BASE-16,14,5,PHY-CLN-16,PHY-ADV-F-16,30,590,0.9,0.09999999999999998,0.5,0.4,111,0.0,1.0,True
PHY-R02-BASE-16,14,5,PHY-CLN-16,PHY-ADV-X-16,30,590,0.9,0.09999999999999998,0.3,0.2,111,0.0,1.0,False
