session_id,case_id,ground_truth,distance,repeat_index,frame_count,usable_frame_count,decoded_frame_count,safe_frames,warning_frames,blocked_frames,clean_type_frames,nonclean_type_frames,current_first_verdict,majority_verdict,median_risk_verdict,median_risk_score,median_p_structural,p_structural_range,majority_detects_ground_truth
bac432e4a94f2498d7c1f22d,ACQ-CLN-V10-LONG,clean,screen-100-brightness-100,1,5,5,5,5,0,0,5,0,safe,safe,safe,1.0,0.0013111233711242676,0.0011951327323913574,True
7ff73f637adfb95e27cef952,ACQ-CLN-V10-LONG,clean,screen-100-brightness-30,1,5,5,5,5,0,0,5,0,safe,safe,safe,1.0,0.0010564923286437988,0.0008685588836669922,True
cf354e76f50c01037f29eb39,ACQ-CLN-V10-LONG,clean,screen-80-brightness-50,1,5,5,5,5,0,0,5,0,safe,safe,safe,1.0,0.0009954571723937988,0.0007905960083007812,True
9d08142c58baad4e6e56b221,ACQ-CLN-V14-LONG,clean,screen-100-brightness-100,1,5,5,0,5,0,0,5,0,safe,safe,safe,1.0,0.0024695992469787598,0.0025041699409484863,True
5513973a67f721dcc4444595,ACQ-CLN-V14-LONG,clean,screen-100-brightness-30,1,5,5,0,5,0,0,5,0,safe,safe,safe,1.0,0.0019154548645019531,0.0020241141319274902,True
4557a7d4ca821149d4e8cf00,ACQ-CLN-V14-LONG,clean,screen-80-brightness-50,1,5,5,0,5,0,0,5,0,safe,safe,safe,1.0,0.0019474029541015625,0.001017749309539795,True
aa6c2d50e262633f0bf139f7,SEM-05-USERINFO,clean,screen-100-brightness-100,1,5,5,5,0,0,5,5,0,blocked,blocked,blocked,79.0,0.0010268688201904297,0.0003161430358886719,True
8f395c5d4d608380c4ffe623,SEM-05-USERINFO,clean,screen-100-brightness-30,1,5,5,1,4,0,1,5,0,blocked,safe,safe,1.0,0.0020389556884765625,0.0015732645988464355,True
9aeb437c63e35d33c0a0d6c5,SEM-05-USERINFO,clean,screen-80-brightness-50,1,5,5,3,2,0,3,5,0,safe,blocked,blocked,79.0,0.0018290281295776367,0.004656553268432617,True
629ddc44367e44cabaf6577d,SEM-11-PLAIN-TEXT,clean,screen-100-brightness-100,1,5,5,5,5,0,0,5,0,safe,safe,safe,1.0,0.0054517388343811035,0.005998969078063965,True
b453a5dd57e26c807cd3332f,SEM-11-PLAIN-TEXT,clean,screen-100-brightness-30,1,5,5,5,5,0,0,5,0,safe,safe,safe,1.0,0.005239307880401611,0.005130469799041748,True
b31e97bef97de787a96d3f59,SEM-11-PLAIN-TEXT,clean,screen-80-brightness-50,1,5,5,4,5,0,0,5,0,safe,safe,safe,1.0,0.008352160453796387,0.008895695209503174,True
0658dbec35216a4100f0ffe9,STR-ADV-NORMAL,adversarial,screen-100-brightness-100,1,5,5,0,0,0,5,0,5,blocked,blocked,blocked,90.0,0.9954922795295715,0.03213369846343994,True
1f365a8072b9272580ccc0e8,STR-ADV-NORMAL,adversarial,screen-100-brightness-30,1,5,5,0,0,0,5,0,5,blocked,blocked,blocked,89.0,0.9938493967056274,0.00605463981628418,True
bfdf9b03f8c623fa7fe87c23,STR-ADV-NORMAL,adversarial,screen-80-brightness-50,1,5,5,0,0,0,5,0,5,blocked,blocked,blocked,90.0,0.996468186378479,0.002687394618988037,True
bba015a905fa3e4ee4e0d0f9,STR-CLN-OVEREXP,clean,screen-100-brightness-100,1,5,5,0,5,0,0,5,0,safe,safe,safe,1.0,0.0010659098625183105,0.0013317465782165527,True
d71de7fb919942afe2964987,STR-CLN-OVEREXP,clean,screen-100-brightness-30,1,5,5,0,5,0,0,5,0,safe,safe,safe,1.0,0.003947794437408447,0.00775378942489624,True
325a35826a78cee5d66f7a34,STR-CLN-OVEREXP,clean,screen-80-brightness-50,1,5,5,0,5,0,0,5,0,safe,safe,safe,1.0,0.0007085800170898438,0.0009795427322387695,True
5add5311c58fb1f58158a0c3,STR-CLN-UNDEREXP,clean,screen-100-brightness-100,1,5,5,0,5,0,0,5,0,safe,safe,safe,1.0,0.0012233853340148926,0.007957816123962402,True
c1ab8c4ae745c7c91645b43a,STR-CLN-UNDEREXP,clean,screen-100-brightness-30,1,5,5,0,5,0,0,5,0,safe,safe,safe,1.0,0.001190185546875,0.0015867352485656738,True
5460d45e97dd09535fe1dddc,STR-CLN-UNDEREXP,clean,screen-80-brightness-50,1,5,5,0,5,0,0,5,0,safe,safe,safe,1.0,0.0034635066986083984,0.002564370632171631,True
79a3eee06b915586197cd95b,STR-TMP-NORMAL,tampered,screen-100-brightness-100,1,5,5,0,0,0,5,0,5,blocked,blocked,blocked,90.0,0.9999803304672241,1.4960765838623047e-05,True
4a7223c410c34c5b0f8eb432,STR-TMP-NORMAL,tampered,screen-100-brightness-30,1,5,5,0,0,0,5,0,5,blocked,blocked,blocked,90.0,0.9999732375144958,1.424551010131836e-05,True
79c28f59a9d9c48c9706ef56,STR-TMP-NORMAL,tampered,screen-80-brightness-50,1,5,5,0,0,0,5,0,5,blocked,blocked,blocked,90.0,0.9999707341194153,1.71661376953125e-05,True
