case_id,qr_version,module_count,mask_pattern,version_band,payload_length_bin,payload_utf8_bytes,frames,p_structural_min,p_structural_median,p_structural_max,p_structural_range,blocked_frames,non_safe_frames,mean_pixels_per_module,mean_luminance,mean_dynamic_range,median_exceeds_reference_span_from_clean_median_minimum,maximum_exceeds_reference_span_from_clean_frame_minimum
R7B-07-B1579A,3,29,0,low_v1_v3,short_1_32,24,5,0.0022235512733459473,0.17163002490997314,0.7699313759803772,0.7677078247070312,1,1,18.0,162.06800514186972,165.77675,True,True
R7B-24-90D5AF,10,57,4,high_v7_plus,long_97_plus,97,5,0.04187506437301636,0.11831903457641602,0.25117266178131104,0.20929759740829468,0,0,9.996491228070175,143.4387738719627,176.82455,False,True
R7B-37-BE5042,10,57,7,high_v7_plus,long_97_plus,97,5,0.016668975353240967,0.027830898761749268,0.03907322883605957,0.022404253482818604,0,2,9.863157894736842,138.29533850844072,176.25825,False,False
R7B-26-C08B18,10,57,6,high_v7_plus,long_97_plus,97,5,0.011674106121063232,0.024991333484649658,0.10563069581985474,0.0939565896987915,0,0,10.480701754385965,141.90193160474126,166.90745,False,False
R7B-45-786666,10,57,5,high_v7_plus,long_97_plus,97,5,0.01140815019607544,0.01912522315979004,0.03132009506225586,0.01991194486618042,0,0,9.624561403508771,138.14835669245417,172.6214,False,False
R7B-36-440538,3,29,4,low_v1_v3,short_1_32,24,5,0.013215899467468262,0.01644313335418701,0.03976160287857056,0.026545703411102295,0,0,15.551724137931036,155.23672118939766,172.79919999999998,False,False
R7B-17-C4A596,10,57,2,high_v7_plus,long_97_plus,97,5,0.001958489418029785,0.013990819454193115,0.04678279161453247,0.044824302196502686,0,0,8.982456140350877,152.34545496251536,166.81255,False,False
R7B-31-384631,3,29,3,low_v1_v3,short_1_32,24,5,0.009839832782745361,0.012194156646728516,0.027489185333251953,0.017649352550506592,0,0,16.23448275862069,159.08658849647637,170.56419999999997,False,False
R7B-43-EB242D,3,29,2,low_v1_v3,short_1_32,24,5,0.007696092128753662,0.01150602102279663,0.021840572357177734,0.014144480228424072,0,4,19.386206896551723,153.53193120613003,176.89694999999998,False,False
R7B-09-1C14A9,10,57,3,high_v7_plus,long_97_plus,97,5,0.008334219455718994,0.010044574737548828,0.028519928455352783,0.02018570899963379,0,0,7.757894736842106,137.1574372847365,172.75019999999998,False,False
R7B-15-185A0D,3,29,1,low_v1_v3,short_1_32,24,5,0.0053618550300598145,0.005879461765289307,0.012274444103240967,0.006912589073181152,0,0,21.082758620689653,157.93644190448947,177.2718,False,False
R7B-12-473F6A,6,41,0,medium_v4_v6,medium_33_96,48,5,0.0026200413703918457,0.005565822124481201,0.01056206226348877,0.007942020893096924,0,0,13.253658536585366,157.58449956949238,170.7866,False,False
R7B-40-099955,6,41,7,medium_v4_v6,medium_33_96,48,5,0.0026885271072387695,0.003267526626586914,0.005145430564880371,0.0024569034576416016,0,5,12.541463414634148,149.19172253664226,175.38989999999998,False,False
R7B-13-C0F52D,6,41,5,medium_v4_v6,medium_33_96,48,5,0.0020742416381835938,0.0032234787940979004,0.005288243293762207,0.0032140016555786133,0,4,11.73170731707317,146.16424556759233,174.3626,False,False
R7B-34-CE3DDF,6,41,1,medium_v4_v6,medium_33_96,48,5,0.001466512680053711,0.002832472324371338,0.006806433200836182,0.005339920520782471,0,5,13.341463414634145,143.6948978156719,180.7386,False,False
R7B-02-5A41E4,6,41,6,medium_v4_v6,medium_33_96,48,5,0.0018924474716186523,0.0026425719261169434,0.004523217678070068,0.002630770206451416,0,1,14.214634146341462,145.67694597017174,173.26855,False,False
