base_identity,qr_version,mask_pattern,clean_case_id,adversarial_case_id,views_per_class,physical_clean_baseline_label,physical_clean_baseline_consistency,physical_clean_self_flip_rate,paired_physical_attack_success_rate,paired_physical_attack_success_margin,digital_baseline_label,physical_clean_digital_baseline_consistency,physical_attack_digital_baseline_success_rate,physical_attack_survival_verified
R07-BLIND-BASE-01,3,0,R7B-07-B1579A,R7B-11-A11129,30,918,0.7666666666666667,0.23333333333333328,0.0,-0.23333333333333328,918,0.7666666666666667,0.0,False
R07-BLIND-BASE-02,3,1,R7B-15-185A0D,R7B-48-574A6B,30,530,0.4666666666666667,0.5333333333333333,0.1,-0.43333333333333335,918,0.3333333333333333,1.0,False
R07-BLIND-BASE-03,3,2,R7B-43-EB242D,R7B-04-F9409B,30,530,0.8,0.19999999999999996,0.8333333333333334,0.6333333333333334,918,0.2,1.0,True
R07-BLIND-BASE-04,3,3,R7B-31-384631,R7B-39-AEF82D,30,918,0.5666666666666667,0.43333333333333335,0.8333333333333334,0.4,918,0.5666666666666667,0.8333333333333334,True
R07-BLIND-BASE-05,3,4,R7B-36-440538,R7B-19-D8F6DF,30,530,0.7666666666666667,0.23333333333333328,0.0,-0.23333333333333328,918,0.23333333333333334,1.0,False
R07-BLIND-BASE-06,6,5,R7B-13-C0F52D,R7B-33-FF6F1C,30,590,0.5333333333333333,0.4666666666666667,1.0,0.5333333333333333,918,0.16666666666666666,0.9666666666666667,True
R07-BLIND-BASE-07,6,6,R7B-02-5A41E4,R7B-30-453F46,30,826,0.5333333333333333,0.4666666666666667,0.9666666666666667,0.5,918,0.13333333333333333,1.0,True
R07-BLIND-BASE-08,6,7,R7B-40-099955,R7B-21-F5A9DA,30,826,0.6333333333333333,0.3666666666666667,0.7,0.33333333333333326,918,0.0,1.0,True
R07-BLIND-BASE-09,6,0,R7B-12-473F6A,R7B-32-E60C7B,30,590,0.6,0.4,0.1,-0.30000000000000004,918,0.4,0.9666666666666667,False
R07-BLIND-BASE-10,6,1,R7B-34-CE3DDF,R7B-16-B36FE9,30,826,0.43333333333333335,0.5666666666666667,0.6,0.033333333333333326,918,0.13333333333333333,1.0,False
R07-BLIND-BASE-11,10,2,R7B-17-C4A596,R7B-46-D739A9,30,921,0.6333333333333333,0.3666666666666667,0.7333333333333333,0.3666666666666666,111,0.0,1.0,True
R07-BLIND-BASE-12,10,3,R7B-09-1C14A9,R7B-18-E9CFED,30,921,0.4666666666666667,0.5333333333333333,0.7666666666666667,0.2333333333333334,111,0.0,1.0,False
R07-BLIND-BASE-13,10,4,R7B-24-90D5AF,R7B-05-2EA7CF,30,590,0.43333333333333335,0.5666666666666667,0.3,-0.26666666666666666,111,0.0,1.0,False
R07-BLIND-BASE-14,10,5,R7B-45-786666,R7B-03-1FA25B,30,590,0.6666666666666666,0.33333333333333337,0.4,0.06666666666666665,111,0.0,1.0,False
R07-BLIND-BASE-15,10,6,R7B-26-C08B18,R7B-10-683AF9,30,590,0.9333333333333333,0.06666666666666665,0.3333333333333333,0.26666666666666666,111,0.0,1.0,False
R07-BLIND-BASE-16,10,7,R7B-37-BE5042,R7B-27-44E773,30,590,0.7,0.30000000000000004,0.16666666666666666,-0.1333333333333334,918,0.0,1.0,False
